,WIHdrebT8TA,1,1,1610732836.7921429,,28
,ipAudyrT4pY,0,1,1610732836.8031137,,28
,xUmp0OKlXn0,0,1,1610732836.81361,,28
,E9Oydtg9BHk,0,1,1610732836.8275743,,28
,sRcSvi2PWGE,0,1,1610732836.8381746,,28
,bFP7HNyXt9Q,0,1,1610732836.8491464,,28
,3I4zl_8Ges4,0,1,1610732836.8581226,,28
,7xWc9VOEoo0,0,1,1610732836.8690941,,28
,DNeg5qy07NA,0,1,1610732836.8800662,,28
,fdWe9wEEbyM,0,1,1610732836.8900352,,28
,mYrlPLGFaFo,0,1,1610732836.9000106,,28
,MQpVdLdvzIk,0,1,1610732836.911182,,28
,MQpVdLdvzIk,0,1,1610732836.9211454,,28
,F6X0pAsGPH8,0,1,1610732836.9311059,,28
,JRstwSGI1Lw,0,1,1610732836.9420733,,28
,KJtKpmrKrzs,0,1,1610732836.9520464,,28
,z36S-oj2AmE,0,1,1610732836.960027,,28
,i8Y32mshPrQ,0,1,1610732836.9699984,,28
,nfV4HNHMI3w,0,1,1610732836.9775226,,28
,UcBTgR6OC4s,0,1,1610732836.9865248,,28
,KhAmDAevYzc,1,1,1610732847.0849452,,28
,io7slruylkk,0,1,1610732847.0959206,,28
,PKEnXvkjKoU,0,1,1610732847.1058927,,28
,adurO9Szl90,0,1,1610732847.1168725,,28
,Jv8YwF_jOMM,0,1,1610732847.126837,,28
,qhT460rqDFU,0,1,1610732847.1358087,,28
,k5DSE6x_eNw,0,1,1610732847.148974,,28
,qa8NsrkOLrk,0,1,1610732847.1587791,,28
,uPBfvOtomiI,0,1,1610732847.168788,,28
,0sG8x8_2iCU,0,1,1610732847.1797593,,28
,SyAw4pZAOBc,0,1,1610732847.1906934,,28
,vfVMQbru7JE,0,1,1610732847.1998153,,28
,i8kKubSHxvA,0,1,1610732847.2097883,,28
,Ch8d0wudfaY,0,1,1610732847.2197902,,28
,l_OW-Tr_oSE,0,1,1610732847.230761,,28
,KwFUPFuU4lc,0,1,1610732847.2394824,,28
,WXZh3GoleiM,0,1,1610732847.249457,,28
,O2VVCfBM0LY,0,1,1610732847.257301,,28
,vGCtXv87KwY,0,1,1610732847.266275,,28
,ZAcfG-XgHWc,0,1,1610732847.2742534,,28
KhAmDAevYzc,l_OW-Tr_oSE,1,0,1610732853.012655,120,28
KhAmDAevYzc,qhT460rqDFU,0,0,1610732853.1552727,120,28
KhAmDAevYzc,FXtcIk0d3GQ,0,0,1610732853.5701642,120,28
KhAmDAevYzc,JmTLWcpIxvQ,0,0,1610732853.6185482,120,28
KhAmDAevYzc,9JVjdzCImmc,0,0,1610732853.6610436,120,28
KhAmDAevYzc,HlMkAuB8CZY,0,0,1610732853.7119048,120,28
KhAmDAevYzc,bAYzqj_24yw,0,0,1610732853.7508006,120,28
KhAmDAevYzc,zvtgFb1BLOM,0,0,1610732853.787701,120,28
KhAmDAevYzc,YXqtLp0uPBo,0,0,1610732853.956252,120,28
KhAmDAevYzc,08CAfBz5qws,0,0,1610732854.0021276,120,28
KhAmDAevYzc,q8OSrwwRrE0,0,0,1610732854.0490115,120,28
KhAmDAevYzc,S6H7iQTTylI,0,0,1610732854.135771,120,28
KhAmDAevYzc,xc0-pleVOcg,0,0,1610732854.205003,120,28
KhAmDAevYzc,tL9MHrR7L7o,0,0,1610732854.2819538,120,28
KhAmDAevYzc,adurO9Szl90,0,0,1610732854.3900845,120,28
KhAmDAevYzc,R4senSukauU,0,0,1610732854.4510775,120,28
KhAmDAevYzc,frJAVdIBd7g,0,0,1610732854.5279245,120,28
KhAmDAevYzc,xwC5thRX1EE,0,0,1610732854.6120555,120,28
KhAmDAevYzc,5xvSX1jfdvw,0,0,1610732854.6793907,120,28
KhAmDAevYzc,gpB6_XUprAU,0,0,1610732854.7890925,120,28
,KhMlfCO0gs0,1,1,1610742929.8798149,,33
,r13D7UXIcwc,0,1,1610742929.9177134,,33
,SclBTEeRikM,0,1,1610742929.97955,,33
,sbwrH4zrGow,0,1,1610742929.9905245,,33
,n9u1fJq8-QY,0,1,1610742930.0004914,,33
,rUm7a8ZeW2M,0,1,1610742930.0114622,,33
,O_wB4rnfBWw,0,1,1610742930.0194433,,33
,F7ntcz8yeqs,0,1,1610742930.0284505,,33
